,pricing,size,address,link
86,"$974,999","3 bds2 ba1,384 sqft - House for sale","1175 86th Street, Dyker Heights, NY 11228",https://www.zillow.com/homedetails/1175-86th-St-Brooklyn-NY-11228/30711199_zpid/
87,"$2,499,000","4 bds5 ba4,600 sqft - House for sale","8 Whitman Dr, Brooklyn, NY 11234",https://www.zillow.com/homedetails/8-Whitman-Dr-Brooklyn-NY-11234/30788219_zpid/
88,"$499,000",3 bds2 ba-- sqft - House for sale,"1065 Hendrix Street, East New York, NY 11207",https://www.zillow.com/homedetails/1065-Hendrix-St-Brooklyn-NY-11207/30648806_zpid/
89,"$499,000",1 bd1 ba519 sqft - Multi-family home for sale,"467 Tompkins Ave #3A, Brooklyn, NY 11216",https://www.zillow.com/homedetails/467-Tompkins-Ave-3A-Brooklyn-NY-11216/2060501899_zpid/
90,"$437,000","2 bds2 ba1,200 sqft - Condo for sale","1625 E 13th St APT 6D, Brooklyn, NY 11229",https://www.zillow.com/homedetails/1625-E-13th-St-APT-6D-Brooklyn-NY-11229/245035826_zpid/
91,"$4,250,000","3 bds4 ba2,750 sqft - Townhouse for sale","152 Willow St, Brooklyn, NY 11201",https://www.zillow.com/homedetails/152-Willow-St-Brooklyn-NY-11201/122027001_zpid/
92,"$849,000","4 bds4 ba2,100 sqft - House for sale","2684 E 63rd St, Brooklyn, NY 11234",https://www.zillow.com/homedetails/2684-E-63rd-St-Brooklyn-NY-11234/30788743_zpid/
93,"$295,000","2 bds1 ba1,000 sqft - Condo for sale","702 Kathleen Pl APT 2D, Brooklyn, NY 11235",https://www.zillow.com/homedetails/702-Kathleen-Pl-APT-2D-Brooklyn-NY-11235/245049495_zpid/
94,"$749,000","6 bds6 ba1,452 sqft - Multi-family home for sale","720 E 89th St, Brooklyn, NY 11236",https://www.zillow.com/homedetails/720-E-89th-St-Brooklyn-NY-11236/55677584_zpid/
95,"$1,498,888","5 bds2 ba2,080 sqft - Multi-family home for sale","518 62nd St, Brooklyn, NY 11220",https://www.zillow.com/homedetails/518-62nd-St-Brooklyn-NY-11220/30691084_zpid/
96,"$1,995,000","2 bds2 ba1,380 sqft - Condo for sale","58 Strong Pl APT 3F, Brooklyn, NY 11231",https://www.zillow.com/homedetails/58-Strong-Pl-APT-3F-Brooklyn-NY-11231/2060619857_zpid/
97,"$4,999,000","6 bds4 ba4,202 sqft - Multi-family home for sale","540 2nd St, Brooklyn, NY 11215",https://www.zillow.com/homedetails/540-2nd-St-Brooklyn-NY-11215/142816219_zpid/
98,"$359,000",2 bds1 ba900 sqft - Condo for sale,"2928 W 5th St APT 9F, Brooklyn, NY 11224",https://www.zillow.com/homedetails/2928-W-5th-St-APT-9F-Brooklyn-NY-11224/245006934_zpid/
99,"$1,199,000",2 bds2 ba960 sqft - Condo for sale,"87 Lafayette Ave APT 1, Brooklyn, NY 11217",https://www.zillow.com/homedetails/87-Lafayette-Ave-APT-1-Brooklyn-NY-11217/64527921_zpid/
100,"$1,995,000","4 bds4 ba2,380 sqft - Multi-family home for sale","176 Terrace Pl, Brooklyn, NY 11218",https://www.zillow.com/homedetails/176-Terrace-Pl-Brooklyn-NY-11218/30670434_zpid/
101,"$1,385,000","4 bds3 ba2,295 sqft - Multi-family home for sale","789 Lexington Ave, Brooklyn, NY 11221",https://www.zillow.com/homedetails/789-Lexington-Ave-Brooklyn-NY-11221/30603018_zpid/
102,"$1,499,000","5 bds3 ba2,200 sqft - Multi-family home for sale","25 72nd St, Brooklyn, NY 11209",https://www.zillow.com/homedetails/25-72nd-St-Brooklyn-NY-11209/30693162_zpid/
103,"$3,999,999","8 bds10 ba5,700 sqft - Apartment for sale","1325 Prospect Pl #A, Brooklyn, NY 11213",https://www.zillow.com/homedetails/1325-Prospect-Pl-A-Brooklyn-NY-11213/2067950125_zpid/
104,"$600,000","4 bds2 ba1,600 sqft - Condo for sale","3130 Brighton 6 St #5K, Brooklyn, NY 11235",https://www.zillow.com/homedetails/3130-Brighton-6-St-5K-Brooklyn-NY-11235/2063190194_zpid/
105,"$1,580,000","4 bds2 ba1,980 sqft - House for sale","2814 Avenue R, Brooklyn, NY 11229",https://www.zillow.com/homedetails/2814-Avenue-R-Brooklyn-NY-11229/30728859_zpid/
106,"$474,900","3 bds2 ba1,344 sqft - House for sale","1614 E 96th St, Brooklyn, NY 11236",https://www.zillow.com/homedetails/1614-E-96th-St-Brooklyn-NY-11236/30779145_zpid/
107,"$1,799,000","5 bds3 ba3,663 sqft - Multi-family home for sale","700 Park Pl, Brooklyn, NY 11216",https://www.zillow.com/homedetails/700-Park-Pl-Brooklyn-NY-11216/30592109_zpid/
108,"$350,000",Studio 1 ba-- sqft - Condo for sale,"52 Orange St #15, Brooklyn, NY 11201",https://www.zillow.com/homedetails/52-Orange-St-15-Brooklyn-NY-11201/2061472611_zpid/
109,"$550,000","2 bds1 ba1,200 sqft - Condo for sale","2375 Ocean Ave APT 2H, Brooklyn, NY 11229",https://www.zillow.com/homedetails/2375-Ocean-Ave-APT-2H-Brooklyn-NY-11229/114440412_zpid/
110,"$250,000",Studio 1 ba-- sqft - Condo for sale,"1453 E 108th Street UNIT 3A, Canarsie, NY 11236",https://www.zillow.com/homedetails/1453-E-108th-St-APT-3A-Brooklyn-NY-11236/30777829_zpid/
111,"$1,495,000","6 bds6 ba4,125 sqft - Multi-family home for sale","266 Eckford St #H, Brooklyn, NY 11222",https://www.zillow.com/homedetails/266-Eckford-St-H-Brooklyn-NY-11222/2061176055_zpid/
112,"$428,000",4 bds1 ba900 sqft - Condo for sale,"420 44th St #4, Brooklyn, NY 11220",https://www.zillow.com/homedetails/420-44th-St-4-Brooklyn-NY-11220/2065399236_zpid/
113,"$1,750,000","3 bds4 ba2,472 sqft - House for sale","216 Dover St, Brooklyn, NY 11235",https://www.zillow.com/homedetails/216-Dover-St-Brooklyn-NY-11235/30790873_zpid/
114,"$1,950,000","4 bds4 ba3,338 sqft - House for sale","28 Shore Rd, Brooklyn, NY 11209",https://www.zillow.com/homedetails/28-Shore-Rd-Brooklyn-NY-11209/2070501969_zpid/
115,"$649,999",1 bd1 ba-- sqft - Condo for sale,"166 State St APT 14A, Brooklyn, NY 11201",https://www.zillow.com/homedetails/166-State-St-APT-14A-Brooklyn-NY-11201/79727000_zpid/
116,"$745,000","3 bds2 ba1,232 sqft - House for sale","2120 E 37th St, Brooklyn, NY 11234",https://www.zillow.com/homedetails/2120-E-37th-St-Brooklyn-NY-11234/30786504_zpid/
117,"$685,000","4 bds2 ba1,123 sqft - House for sale","106 Just Ct, Brooklyn, NY 11229",https://www.zillow.com/homedetails/106-Just-Ct-Brooklyn-NY-11229/30793646_zpid/
118,"$699,999","4 bds3 ba2,100 sqft - Multi-family home for sale","599 Pine St, Brooklyn, NY 11208",https://www.zillow.com/homedetails/599-Pine-St-Brooklyn-NY-11208/30646298_zpid/
119,"$1,150,000",2 bds2 ba-- sqft - Condo for sale,"150 Joralemon St APT 12D, Brooklyn, NY 11201",https://www.zillow.com/homedetails/150-Joralemon-St-APT-12D-Brooklyn-NY-11201/79726188_zpid/
120,"$2,200,000","4 bds3 ba2,205 sqft - Multi-family home for sale","67 Adelphi St, Brooklyn, NY 11205",https://www.zillow.com/homedetails/67-Adelphi-St-Brooklyn-NY-11205/30615015_zpid/
121,"$3,695,000","4 bds3 ba3,050 sqft - Multi-family home for sale","483 13th St, Brooklyn, NY 11215",https://www.zillow.com/homedetails/483-13th-St-Brooklyn-NY-11215/30588362_zpid/
122,"$12,500,000","10 bds5 ba15,750 sqft - Multi-family home for sale","76 1st Pl, Brooklyn, NY 11231",https://www.zillow.com/homedetails/76-1st-Pl-Brooklyn-NY-11231/30570431_zpid/
123,"$1,539,000","4 bds3 ba1,767 sqft - Multi-family home for sale","1153 84th Street, Dyker Heights, NY 11228",https://www.zillow.com/homedetails/1153-84th-St-Brooklyn-NY-11228/30710038_zpid/
124,"$735,000","3 bds2 ba1,120 sqft - House for sale","1606 Albany Ave, Brooklyn, NY 11210",https://www.zillow.com/homedetails/1606-Albany-Ave-Brooklyn-NY-11210/30757941_zpid/
125,"$5,495,000","4 bds4 ba3,293 sqft - Condo for sale","185 Plymouth St APT 4S, Brooklyn, NY 11201",https://www.zillow.com/homedetails/185-Plymouth-St-APT-4S-Brooklyn-NY-11201/2095605311_zpid/
126,"$1,500,000","7 bds3 ba2,331 sqft - Multi-family home for sale","420A Kosciuszko St, Brooklyn, NY 11221",https://www.zillow.com/homedetails/420A-Kosciuszko-St-Brooklyn-NY-11221/30602288_zpid/
127,"$3,450,000","2 bds3 ba1,424 sqft - Condo for sale","115 York St PENTHOUSE 21D, Brooklyn, NY 11201",https://www.zillow.com/homedetails/115-York-St-PENTHOUSE-21D-Brooklyn-NY-11201/2060525626_zpid/
128,"$614,900","4 bds2 ba2,240 sqft - Multi-family home for sale","3036 Brighton 3rd St, Brooklyn, NY 11235",https://www.zillow.com/homedetails/3036-Brighton-3rd-St-Brooklyn-NY-11235/30789498_zpid/
129,"$499,000",2 bds1 ba996 sqft - Condo for sale,"2116 Dorchester Rd APT 3J, Brooklyn, NY 11226",https://www.zillow.com/homedetails/2116-Dorchester-Rd-APT-3J-Brooklyn-NY-11226/2093101608_zpid/
130,"$2,075,000","6 bds4 ba3,600 sqft - Multi-family home for sale","551 Madison St, Brooklyn, NY 11221",https://www.zillow.com/homedetails/551-Madison-St-Brooklyn-NY-11221/300066358_zpid/
131,"$439,000","2 bds2 ba1,200 sqft - Condo for sale","2 W End Ave SUITE 1-H, Brooklyn, NY 11235",https://www.zillow.com/homedetails/2-W-End-Ave-SUITE-1-H-Brooklyn-NY-11235/245007321_zpid/
132,"$465,000","2 bds2 ba1,100 sqft - Condo for sale","1530 E 8th St APT 7L, Brooklyn, NY 11230",https://www.zillow.com/homedetails/1530-E-8th-St-APT-7L-Brooklyn-NY-11230/245050016_zpid/
133,"$1,299,000","2 bds2 ba2,140 sqft - Multi-family home for sale","578 20th St, Brooklyn, NY 11218",https://www.zillow.com/homedetails/578-20th-St-Brooklyn-NY-11218/30580685_zpid/
134,"$378,888","3 bds2 ba1,250 sqft - Condo for sale","2475 W 16th St APT 7H, Brooklyn, NY 11214",https://www.zillow.com/homedetails/2475-W-16th-St-APT-7H-Brooklyn-NY-11214/244998265_zpid/
135,"$1,950,000","-- bds4 ba3,000 sqft - Multi-family home for sale","1735 71st St, Brooklyn, NY 11204",https://www.zillow.com/homedetails/1735-71st-St-Brooklyn-NY-11204/30703394_zpid/
136,"$11,850,000","5 bds5 ba6,000 sqft - Townhouse for sale","104 Willow St, Brooklyn, NY 11201",https://www.zillow.com/homedetails/104-Willow-St-Brooklyn-NY-11201/30567435_zpid/
137,"$399,000",Studio 1 ba-- sqft - Condo for sale,"55 Eastern Pkwy APT 6F, Brooklyn, NY 11238",https://www.zillow.com/homedetails/55-Eastern-Pkwy-APT-6F-Brooklyn-NY-11238/245052467_zpid/
138,"$2,750,000","5 bds3 ba2,650 sqft - Townhouse for sale","48 Dikeman St, Brooklyn, NY 11231",https://www.zillow.com/homedetails/48-Dikeman-St-Brooklyn-NY-11231/30573444_zpid/
139,"$260,000",2 bds1 ba850 sqft - Condo for sale,"5818 Avenue T #155D, Brooklyn, NY 11234",https://www.zillow.com/homedetails/5818-Avenue-T-155D-Brooklyn-NY-11234/114409388_zpid/
140,"$500,000",1 bd1 ba620 sqft - Condo for sale,"893 Myrtle Ave APT 2B, Brooklyn, NY 11206",https://www.zillow.com/homedetails/893-Myrtle-Ave-APT-2B-Brooklyn-NY-11206/83049025_zpid/
141,"$4,295,000","4 bds3 ba2,461 sqft - Condo for sale","256 N 9th St PENTHOUSE 1, Brooklyn, NY 11211",https://www.zillow.com/homedetails/256-N-9th-St-PENTHOUSE-1-Brooklyn-NY-11211/2061508771_zpid/
142,"$670,000","1 bd1 ba448,000 sqft - Condo for sale","345 Clinton Ave APT 4A, Brooklyn, NY 11238",https://www.zillow.com/homedetails/345-Clinton-Ave-APT-4A-Brooklyn-NY-11238/245000836_zpid/
143,"$950,000","3 bds2 ba1,328 sqft - House for sale","1120 E 15th St, Brooklyn, NY 11230",https://www.zillow.com/homedetails/1120-E-15th-St-Brooklyn-NY-11230/30724998_zpid/
144,"$599,000",1 bd1 ba673 sqft - Condo for sale,"734 E 5th Ave #2, Brooklyn, NY 11232",https://www.zillow.com/homedetails/734-E-5th-Ave-2-Brooklyn-NY-11232/2061010329_zpid/
145,"$848,000","3 bds2 ba1,215 sqft - House for sale","1746 73rd St, Brooklyn, NY 11204",https://www.zillow.com/homedetails/1746-73rd-St-Brooklyn-NY-11204/30705060_zpid/
146,"$435,000","2 bds1 ba1,000 sqft - Condo for sale","9425 Shore Rd APT 3A, Brooklyn, NY 11209",https://www.zillow.com/homedetails/9425-Shore-Rd-APT-3A-Brooklyn-NY-11209/89664689_zpid/
147,"$1,800,000","3 bds2 ba1,684 sqft - House for sale","654 Jefferson Ave, Brooklyn, NY 11221",https://www.zillow.com/homedetails/654-Jefferson-Ave-Brooklyn-NY-11221/30604500_zpid/
148,"$189,000",Studio 1 ba320 sqft - Condo for sale,"160 72nd St APT 714, Brooklyn, NY 11209",https://www.zillow.com/homedetails/160-72nd-St-APT-714-Brooklyn-NY-11209/84074264_zpid/
149,"$1,649,900","4 bds4 ba2,600 sqft - House for sale","156 Oxford St, Brooklyn, NY 11235",https://www.zillow.com/homedetails/156-Oxford-St-Brooklyn-NY-11235/30791360_zpid/
150,"$3,995,000","5 bds6 ba5,893 sqft - House for sale","921 Oriental Blvd, Brooklyn, NY 11235",https://www.zillow.com/homedetails/921-Oriental-Blvd-Brooklyn-NY-11235/30791088_zpid/
151,"$1,499,000","5 bds2 ba2,600 sqft - House for sale","769 Argyle Rd, Brooklyn, NY 11230",https://www.zillow.com/homedetails/769-Argyle-Rd-Brooklyn-NY-11230/30723767_zpid/
152,"$879,000",2 bds1 ba-- sqft - Condo for sale,"160 Garfield Pl APT 3L, Brooklyn, NY 11215",https://www.zillow.com/homedetails/160-Garfield-Pl-APT-3L-Brooklyn-NY-11215/245021080_zpid/
153,"$399,999",1 bd1 ba870 sqft - Condo for sale,"668 Broadway APT 11, Brooklyn, NY 11206",https://www.zillow.com/homedetails/668-Broadway-APT-11-Brooklyn-NY-11206/2088005957_zpid/
154,"$990,000","3 bds2 ba1,368 sqft - House for sale","184 73rd St, Brooklyn, NY 11209",https://www.zillow.com/homedetails/184-73rd-St-Brooklyn-NY-11209/30694470_zpid/
155,"$628,000","2 bds2 ba1,042 sqft - Condo for sale","3041 Brighton 2nd St APT 1B, Brooklyn, NY 11235",https://www.zillow.com/homedetails/3041-Brighton-2nd-St-APT-1B-Brooklyn-NY-11235/119903057_zpid/
156,"$605,000","3 bds3 ba1,120 sqft - House for sale","328 Berriman St, Brooklyn, NY 11208",https://www.zillow.com/homedetails/328-Berriman-St-Brooklyn-NY-11208/30640264_zpid/
157,"$999,000","4 bds2 ba1,600 sqft - Multi-family home for sale","2221 W 5th St, Brooklyn, NY 11223",https://www.zillow.com/homedetails/2221-W-5th-St-Brooklyn-NY-11223/30737604_zpid/
158,"$599,000","4 bds3 ba1,500 sqft - House for sale","877 Glenmore Ave, Brooklyn, NY 11208",https://www.zillow.com/homedetails/877-Glenmore-Ave-Brooklyn-NY-11208/30638834_zpid/
159,"$1,999,999","5 bds4 ba2,196 sqft - Multi-family home for sale","43 Powers St, Brooklyn, NY 11211",https://www.zillow.com/homedetails/43-Powers-St-Brooklyn-NY-11211/30623275_zpid/
160,"$4,095,000","2 bds4 ba4,800 sqft - Townhouse for sale","183 Concord St, Brooklyn, NY 11201",https://www.zillow.com/homedetails/183-Concord-St-Brooklyn-NY-11201/2106560385_zpid/
161,"$219,000",1 bd1 ba560 sqft - Condo for sale,"1855 E 12th St APT 5N, Brooklyn, NY 11229",https://www.zillow.com/homedetails/1855-E-12th-St-APT-5N-Brooklyn-NY-11229/79716932_zpid/
162,"$1,135,000",2 bds2 ba-- sqft - Condo for sale,"344 De Graw St #4A, Brooklyn, NY 11231",https://www.zillow.com/homedetails/344-De-Graw-St-4A-Brooklyn-NY-11231/2061584333_zpid/
163,"$329,000",1 bd1 ba850 sqft - Condo for sale,"909 E 29th St APT 3F, Brooklyn, NY 11210",https://www.zillow.com/homedetails/909-E-29th-St-APT-3F-Brooklyn-NY-11210/79982475_zpid/
164,"$628,000","2 bds2 ba1,042 sqft - Condo for sale","3041 Brighton 2 St #1B, Brooklyn, NY 11235",https://www.zillow.com/homedetails/3041-Brighton-2-St-1B-Brooklyn-NY-11235/2120272314_zpid/
165,"$370,000","2 bds1 ba1,000 sqft - Condo for sale","2652 Cropsey Ave APT 12F, Brooklyn, NY 11214",https://www.zillow.com/homedetails/2652-Cropsey-Ave-APT-12F-Brooklyn-NY-11214/2060843595_zpid/
166,"$449,000",1 bd1 ba472 sqft - Condo for sale,"1759 Bay Ridge Pkwy APT 2A, Brooklyn, NY 11204",https://www.zillow.com/homedetails/1759-Bay-Ridge-Pkwy-APT-2A-Brooklyn-NY-11204/2060523364_zpid/
167,"$809,000","3 bds1 ba1,330 sqft - House for sale","633 92nd St, Brooklyn, NY 11228",https://www.zillow.com/homedetails/633-92nd-St-Brooklyn-NY-11228/30701094_zpid/
168,"$699,995","3 bds2 ba1,280 sqft - Multi-family home for sale","3906 Clarendon Rd, Brooklyn, NY 11203",https://www.zillow.com/homedetails/3906-Clarendon-Rd-Brooklyn-NY-11203/30661708_zpid/
169,"$539,000",3 bds2 ba788 sqft - House for sale,"1747 Albany Ave, Brooklyn, NY 11210",https://www.zillow.com/homedetails/1747-Albany-Ave-Brooklyn-NY-11210/30758611_zpid/
170,"$399,000","3 bds1 ba1,100 sqft - Condo for sale","2427 E 29th St APT 6E, Brooklyn, NY 11235",https://www.zillow.com/homedetails/2427-E-29th-St-APT-6E-Brooklyn-NY-11235/245024754_zpid/
